epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,4.645893,3.474476,5.300000,4.572654
0,500,3.324648,3.308352,15.640519,15.700000
0,1000,3.323191,3.253976,15.357093,15.655663
0,1500,3.303488,3.232813,15.329247,14.448544
0,2000,3.290004,3.246308,15.340205,14.943204
0,2094,3.288563,3.259643,15.335458,15.174434
1,2500,3.262108,3.232233,16.057125,14.285113
1,3000,3.227995,3.169346,15.762734,14.843204
1,3500,3.209248,3.172474,15.693106,13.296117
1,4000,3.194980,3.110916,15.689250,13.925728
1,4188,3.191256,3.143718,15.701194,11.984304
2,4500,3.137478,3.105040,16.767412,13.817476
2,5000,3.138166,3.085923,16.413284,12.106796
2,5500,3.135780,3.091145,16.368507,12.411974
2,6000,3.132160,3.066505,16.396525,12.747087
2,6282,3.131165,3.082915,16.401982,11.581715
3,6500,3.093191,3.088677,17.552511,13.276052
3,7000,3.089173,3.070681,17.107163,12.138188
3,7500,3.082425,3.051796,17.220837,11.949353
3,8000,3.076009,3.046801,17.337231,12.640129
3,8376,3.073315,3.129256,17.422350,10.992071
4,8500,3.055217,3.019897,18.940800,12.387055
4,9000,3.042180,3.015393,18.208000,12.522654
4,9500,3.038895,2.992760,18.164178,12.194822
4,10000,3.035043,2.992244,18.181169,11.831230
4,10470,3.032968,2.981478,18.195511,12.516828
