epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,4.645645,4.599392,5.200000,4.436207
0,500,2.666087,2.217361,26.438423,7.531818
0,1000,2.343065,1.984274,32.762837,7.249843
0,1500,2.169550,1.860880,36.427249,6.590752
0,2000,2.050826,1.788058,39.110070,6.344984
0,2159,2.022433,1.789535,39.770843,6.986991
1,2500,1.645705,1.721456,48.591082,6.548276
1,3000,1.597668,1.694111,49.599703,6.561129
1,3500,1.571485,1.667786,50.200186,6.623041
1,4000,1.545396,1.665707,50.855185,6.039028
1,4318,1.536957,1.653645,51.095160,6.437461
2,4500,1.487939,1.618352,52.806557,6.665831
2,5000,1.455213,1.612628,53.136676,6.176176
2,5500,1.441596,1.606829,53.408580,6.308307
2,6000,1.429037,1.604479,53.673054,6.278840
2,6477,1.423472,1.602616,53.854887,6.293417
3,6500,1.464556,1.615929,52.745833,6.883072
3,7000,1.393714,1.571413,54.598950,6.180878
3,7500,1.384216,1.566010,54.754150,6.426646
3,8000,1.376714,1.568153,54.920636,6.214263
3,8500,1.369404,1.563926,55.124852,6.405799
3,8636,1.371410,1.566965,55.100000,6.148119
4,9000,1.373538,1.548948,55.225890,6.067712
4,9500,1.358660,1.547907,55.418671,6.320219
4,10000,1.353882,1.549146,55.490476,5.897806
4,10500,1.343894,1.551045,55.761046,6.285423
4,10795,1.345713,1.545405,55.743238,6.200313
