epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,4.646402,3.478020,4.900000,4.116279
0,500,2.664740,2.034366,24.891018,6.556395
0,1000,2.279757,1.835648,32.085265,6.411337
0,1500,2.091713,1.765151,35.831646,6.468023
0,2000,1.973498,1.736726,38.269140,6.117151
0,2330,1.919196,1.719206,39.404399,5.789390
1,2500,1.586701,1.668628,46.734503,6.218314
1,3000,1.525308,1.659831,47.619449,5.606105
1,3500,1.503616,1.659117,47.987575,5.755814
1,4000,1.488737,1.638249,48.275972,5.609593
1,4500,1.475148,1.628366,48.595417,5.747093
1,4660,1.475266,1.654823,48.608069,5.894477
2,5000,1.441965,1.591419,49.515249,5.899564
2,5500,1.419228,1.589340,49.844530,6.148547
2,6000,1.409515,1.595692,50.010067,5.592442
2,6500,1.401055,1.589419,50.185443,5.694477
2,6990,1.398721,1.588785,50.279807,5.672238
3,7000,1.505943,1.582594,47.781818,6.408285
3,7500,1.374947,1.552701,50.868885,6.231977
3,8000,1.363396,1.556530,51.063452,5.861628
3,8500,1.356682,1.554108,51.183752,5.654506
3,9000,1.346450,1.562258,51.434635,5.778198
3,9320,1.349341,1.554158,51.390107,6.250436
4,9500,1.372816,1.525880,51.192541,5.822529
4,10000,1.342159,1.526006,51.579956,5.829360
4,10500,1.331891,1.528888,51.762151,5.877180
4,11000,1.323638,1.531740,51.917281,5.786337
4,11500,1.316767,1.527541,52.106373,5.564244
4,11650,1.319021,1.526403,52.066373,5.572965
