epoch,global_step,train_loss,val_loss,train_acc,val_acc
0,0,4.624224,4.568523,0.000000,0.936889
0,500,2.296136,2.084564,7.059082,1.347226
0,1000,2.028126,2.010864,8.325974,1.539036
0,1500,1.904515,1.954530,8.924117,1.417371
0,2000,1.829176,1.931244,9.280985,1.334875
0,2500,1.776807,1.931365,9.539124,1.400561
0,3000,1.738352,1.915991,9.730423,1.226651
0,3500,1.706899,1.899303,9.888646,1.379590
0,4000,1.683257,1.915201,10.005549,1.373679
0,4500,1.663837,1.899284,10.099500,1.475495
0,5000,1.645661,1.899242,10.189602,1.383223
0,5500,1.631085,1.898058,10.259607,1.410634
0,6000,1.617250,1.884553,10.323129,1.358355
0,6500,1.605942,1.877036,10.377288,1.371334
0,7000,1.594893,1.882351,10.432660,1.327345
0,7500,1.584592,1.873419,10.483649,1.387285
0,8000,1.574843,1.886296,10.534764,1.255746
0,8500,1.566859,1.886386,10.577085,1.375958
0,9000,1.558410,1.881541,10.619864,1.313177
0,9500,1.558900,1.794615,10.621745,1.444815
0,10000,1.560378,1.781224,10.618483,1.274240
0,10240,1.563129,1.795687,10.605537,1.501618
1,10500,1.521433,1.779777,11.154023,1.434049
1,11000,1.464335,1.799599,11.194678,1.420971
1,11500,1.446118,1.797502,11.231285,1.389465
1,12000,1.435782,1.816594,11.260846,1.328732
1,12500,1.429578,1.815429,11.277598,1.265819
1,13000,1.426095,1.824173,11.284444,1.267239
1,13500,1.422078,1.811594,11.300353,1.383289
1,14000,1.418042,1.831823,11.319529,1.311427
1,14500,1.417899,1.836587,11.311981,1.274868
1,15000,1.416562,1.825361,11.317318,1.291777
1,15500,1.414884,1.827502,11.323798,1.337087
1,16000,1.412036,1.822516,11.337710,1.304954
1,16500,1.411193,1.824987,11.338476,1.313375
1,17000,1.408732,1.830352,11.350274,1.270079
1,17500,1.407094,1.816528,11.360116,1.316149
1,18000,1.404577,1.831905,11.372536,1.327147
1,18500,1.403177,1.826727,11.380862,1.258983
1,19000,1.400866,1.832484,11.394441,1.259478
1,19500,1.402701,1.773708,11.387404,1.295112
1,20000,1.408746,1.756442,11.361023,1.316314
1,20480,1.417321,1.765540,11.323105,1.422391
2,20500,1.561422,1.832287,11.133333,1.274934
2,21000,1.414417,1.745014,11.497121,1.314201
2,21500,1.389190,1.760786,11.529824,1.242305
2,22000,1.378826,1.758189,11.548718,1.305713
2,22500,1.372926,1.774922,11.556333,1.257332
2,23000,1.369160,1.770774,11.568306,1.334775
2,23500,1.366311,1.781367,11.573767,1.282596
2,24000,1.362157,1.785072,11.592176,1.379987
2,24500,1.360463,1.777057,11.596916,1.288573
2,25000,1.359808,1.787452,11.593563,1.364960
2,25500,1.357652,1.785101,11.604551,1.265059
2,26000,1.355356,1.796953,11.615776,1.169914
2,26500,1.354218,1.795097,11.618095,1.281704
2,27000,1.353055,1.799888,11.620848,1.239828
2,27500,1.350794,1.795500,11.631470,1.302510
2,28000,1.348573,1.810157,11.643398,1.303468
2,28500,1.346447,1.801984,11.656963,1.191050
2,29000,1.345117,1.794984,11.664599,1.328699
2,29500,1.343251,1.791934,11.676350,1.391579
2,30000,1.349721,1.723744,11.647894,1.334082
2,30500,1.358305,1.720260,11.610483,1.417536
2,30720,1.363788,1.713595,11.585493,1.564201
3,31000,1.392164,1.701354,11.713523,1.215984
3,31500,1.352665,1.717262,11.736364,1.332596
3,32000,1.338220,1.736165,11.764637,1.414234
3,32500,1.330868,1.745765,11.771814,1.410931
3,33000,1.325965,1.739682,11.785028,1.269551
3,33500,1.323005,1.743164,11.795128,1.348184
3,34000,1.319321,1.741599,11.810104,1.220343
3,34500,1.315344,1.754145,11.828405,1.315522
3,35000,1.315805,1.754289,11.820030,1.233653
3,35500,1.313720,1.753728,11.827097,1.265059
3,36000,1.312006,1.760271,11.835353,1.283025
3,36500,1.309627,1.769380,11.846402,1.328005
3,37000,1.309341,1.762593,11.843632,1.202312
3,37500,1.307063,1.767554,11.854328,1.235997
3,38000,1.305540,1.759079,11.861839,1.278402
3,38500,1.303682,1.770092,11.871405,1.282464
3,39000,1.302849,1.762260,11.877545,1.345145
3,39500,1.300905,1.770331,11.890821,1.349042
3,40000,1.302818,1.716285,11.882378,1.348679
3,40500,1.309557,1.693362,11.854187,1.294914
3,40960,1.319512,1.692502,11.809155,1.417834
4,41000,1.239811,1.701707,12.832927,1.159544
4,41500,1.345640,1.681162,11.831146,1.266149
4,42000,1.321770,1.694003,11.875793,1.405086
4,42500,1.311035,1.698397,11.892180,1.320542
4,43000,1.303491,1.705879,11.910583,1.164762
4,43500,1.300416,1.711451,11.912771,1.299207
4,44000,1.296744,1.713616,11.923397,1.339333
4,44500,1.292635,1.718266,11.942177,1.341017
4,45000,1.290546,1.719064,11.949270,1.211724
4,45500,1.289743,1.722124,11.948062,1.268890
4,46000,1.287327,1.721139,11.961942,1.359610
4,46500,1.285322,1.725602,11.970402,1.365192
4,47000,1.283175,1.733331,11.977106,1.727708
4,47500,1.281882,1.728931,11.981570,1.324439
4,48000,1.279254,1.737862,11.993829,1.223052
4,48500,1.277113,1.730232,12.004800,1.229293
4,49000,1.275399,1.736397,12.014401,1.309214
4,49500,1.274110,1.732908,12.022661,1.296731
4,50000,1.272097,1.732314,12.035781,1.326684
4,50500,1.278474,1.690370,12.006986,1.343230
4,51000,1.287117,1.672545,11.968728,1.276189
4,51200,1.292162,1.669741,11.946260,1.459478
